neighbourhood,count
Willowbrook,1
Richmondtown,1
Rossville,1
New Dorp,1
Woodrow,1
Fort Wadsworth,1
West Farms,2
Lighthouse Hill,2
Silver Lake,2
Co-op City,2
Howland Hook,2
Eltingville,2
Westerleigh,2
"""Bay Terrace, Staten Island""",2
Graniteville,3
Breezy Point,3
Neponsit,3
Huguenot,3
Todt Hill,4
New Dorp Beach,4
Olinville,4
Arden Heights,4
Little Neck,4
Castleton Corners,4
Prince's Bay,4
Mill Basin,4
Spuyten Duyvil,4
Holliswood,4
Oakwood,5
Emerson Hill,5
New Brighton,5
Midtown,1541
Grant City,6
Midland Beach,6
Mount Eden,6
Bull's Head,6
Bay Terrace,6
Douglaston,7
Grymes Hill,7
Sea Gate,7
Shore Acres,7
Rosebank,7
Tottenville,7
Dongan Hills,7
Unionport,7
Baychester,7
New Springville,8
Mariners Harbor,8
Belle Harbor,8
South Beach,8
Manhattan Beach,8
Jamaica Hills,8
Port Richmond,9
Castle Hill,9
East Morrisania,10
Bergen Beach,10
North Riverdale,10
Great Kills,10
Westchester Square,10
Edgemere,10
Melrose,10
Van Nest,11
Riverdale,11
Whitestone,11
Woodlawn,11
Tremont,11
Dyker Heights,12
Fieldston,12
Marble Hill,12
Edenwald,13
Schuylerville,13
Eastchester,13
Navy Yard,14
Bellerose,14
Hollis,14
Soundview,15
Clifton,15
Morris Park,15
Bath Beach,16
Pelham Bay,17
Bayswater,17
Morris Heights,17
Coney Island,17
Hunts Point,18
Morrisania,18
West Brighton,18
Laurelton,18
Randall Manor,18
City Island,18
Jamaica Estates,19
Bronxdale,19
College Point,19
Howard Beach,20
Mount Hope,20
University Heights,21
Clason Point,21
Arrochar,21
Prospect-Lefferts Gardens,533
Long Island City,534
Throgs Neck,23
Belmont,24
Crown Heights,1560
Cambria Heights,25
Concord,26
Kew Gardens Hills,26
Pelham Gardens,26
Highbridge,27
Stapleton,27
Claremont Village,28
South Slope,284
Far Rockaway,29
Middle Village,31
Concourse Village,31
Norwood,31
Fresh Meadows,32
Kew Gardens,32
Theater District,288
Vinegar Hill,34
Stuyvesant Town,36
DUMBO,36
Bayside,39
Parkchester,39
South Ozone Park,39
Williamsbridge,40
Tompkinsville,42
Allerton,42
Columbia St,42
Port Morris,46
St. George,47
Concourse,50
Wakefield,50
Ditmars Steinway,306
Civic Center,52
Glendale,54
Briarwood,55
Mott Haven,55
Fort Hamilton,55
Rockaway Beach,56
East Village,1849
Rosedale,59
Queens Village,59
Clinton Hill,571
Longwood,60
Brownsville,61
Ozone Park,62
Fordham,63
Corona,63
Gravesend,68
Kingsbridge,70
Battery Park City,70
Two Bridges,72
Williamsburg,3914
Bensonhurst,75
Brighton Beach,75
NoHo,76
Arverne,76
St. Albans,76
Roosevelt Island,77
Red Hook,78
Flatiron District,80
Gramercy,337
Downtown Brooklyn,83
Flatlands,83
Springfield Gardens,84
Woodhaven,85
Harlem,2645
Morningside Heights,343
Chelsea,1111
East Harlem,1112
Greenpoint,1114
Richmond Hill,94
Cobble Hill,98
Prospect Heights,356
SoHo,357
Rego Park,106
Midwood,106
Sunnyside,363
Flatbush,619
Maspeth,109
Chinatown,367
Little Italy,121
Bedford-Stuyvesant,3705
Washington Heights,895
Astoria,896
Cypress Hills,133
Sunset Park,390
Greenwich Village,390
Borough Park,135
Bay Ridge,141
Canarsie,143
Lower East Side,911
Forest Hills,144
Brooklyn Heights,153
Bushwick,2460
Windsor Terrace,157
Hell's Kitchen,1950
Sheepshead Bay,163
Flushing,423
Ridgewood,423
Kensington,175
Upper West Side,1968
Boerum Hill,177
Tribeca,177
East Elmhurst,183
Jackson Heights,184
Kips Bay,470
East New York,217
Murray Hill,483
Elmhurst,230
Jamaica,231
Fort Greene,488
Financial District,744
Carroll Gardens,233
Woodside,234
East Flatbush,499
Gowanus,247
Park Slope,506
Inwood,251
Nolita,253
Upper East Side,1790
West Village,767
